,p_value,sidak_cor_pval,holm-sidak_cor_pval,holm_cor_pval,simes-hochberg_cor_pval,hommel_cor_pval,fdr_bh_cor_pval,fdr_by_cor_pval,fdr_tsbh_cor_pval,fdr_tsbky_cor_pval,log2FC
Prdx3,5.255328915228161e-07,0.011408907304858218,0.010132064023345766,0.010183740080360559,0.01018167424036304,0.008463173685539924,4.659472926228066e-06,4.924346364014879e-05,2.0527374772092957e-06,2.1784540431541962e-06,-0.0246642104902
Il13,0.012109993479259892,1.0,1.0,1.0,0.5,0.5,0.024887378321973106,0.2630213178400865,0.010964170196897468,0.01163565295633112,0.0160730578338
Vim,0.0002435659748505285,0.9951007210824085,0.9787647757910307,1.0,0.5,0.5,0.0008824387097085931,0.009326020175284515,0.00038875963857685065,0.0004125685899320459,-0.0252696694094
Ntf3,0.0014502814500557623,0.9999999999999827,0.9999999987164966,1.0,0.5,0.5,0.004090839833090885,0.043233886271672954,0.001802225352867144,0.00191259971146721,0.0292271956741
Zp2,7.472663222370211e-07,0.016183436953587482,0.014279704196242804,0.014382634904095946,0.014381887637773708,0.01180198516591835,6.2985161229461025e-06,6.65656297606752e-05,2.77482030716399e-06,2.9447596608338425e-06,0.0456898170068
Pou5f1,0.0006801148289368542,0.9999996462513455,0.9999605251553096,1.0,0.5,0.5,0.0021404756120124114,0.022621535663280557,0.0009429895993380684,0.0010007414626263579,0.043118766676
T,1.6140293953953027e-11,3.5240749507448044e-07,3.462903191975286e-07,3.462900067820622e-07,3.462900067820622e-07,3.3747740628320387e-07,9.233195470932185e-10,9.75806776118138e-09,4.067697500911271e-10,4.3168170141441255e-10,0.0748780429
Tnfrsf9,5.142636464076675e-08,0.0011222131211602315,0.001033495515086913,0.001034029913831897,0.0010339784874672563,0.000920274795246521,6.49417724445634e-07,6.863346693355473e-06,2.861019094734155e-07,3.0362375528595205e-07,0.0435972251459
F3,0.2710608086198032,1.0,1.0,1.0,0.5,0.5,0.3176654682552781,1.0,0.1399479774272932,0.14851886353836696,0.00506102310408
Mtap2,6.73801470468773e-05,0.7703566204240628,0.6782647731172667,1.0,0.5,0.4859735686862875,0.00029297328133756216,0.0030962770586930484,0.00012906979908335672,0.00013697446886607896,-0.0308232739226
Sag,0.3446683106869708,1.0,1.0,1.0,0.5,0.5,0.38255645109399733,1.0,0.16853579294097099,0.17885749328627984,0.00482321293185
Prkca,5.233256847148734e-06,0.10797688136568784,0.09154944237256812,0.09601456337463782,0.09601456337463782,0.07014134152233448,3.2698843639421123e-05,0.0003455764940212318,1.4405522440578538e-05,1.5287765217347933e-05,-0.0385867761258
